title,company,location,summary,salary
BI Data Engineer,GenesisCare,Alexandria NSW,"2+ years’ experience in business intelligence and analysis.
Provide end user training on the tools and data sources available to support self-service business…",121207.5
Head of Financial Control & FP&A,RB,Sydney NSW,"Want to point a global business in the right direction?
Lead the financial insight and intelligence our leadership depends on to make critical decisions.",121207.5
AML Intelligence Manager,Westpac Group,Parramatta NSW,"Demonstrated experience in creating intelligence reports identifying intelligence observations and the root cause(s).
What’s in it for me?",121207.5
"Insolvency & Restructuring Leader, Australasia",Willis Towers Watson,Sydney NSW,"Proven business development and networking skills.
Actively drafting proposals, presenting and pitching to potential clients and utilising business intelligence…",121207.5
GeoCortex Developer - Sydney,NGIS Australia,Sydney NSW,"As NGIS is focused on location intelligence, we value GIS people and provide the opportunity for motivated individuals to move into senior roles within the…",121207.5
Data Scientist,Sherpa,Australia,"Analytical mind and business acumen.
You work well with little direction and seek out how you can add value to the business.",121207.5
Intelligence Analyst,Sibylline Americas Inc.,Australia,"Production of insightful and actionable intelligence products.
Strong, demonstrable interest in security and intelligence.
Excellent written and spoken English.",121207.5
SAP BASIS Administrator,Cognizant,Sydney NSW,"Regular support for production operations, business process and support in providing the Financial sales reports, and business planning.", 160000
Data & Visualisation Analyst,HSBC,Sydney NSW,"Relevant commercial experience in building and maintaining SAS datamarts to support business intelligence.
Delivery of high quality reporting, dashboards and ad…",121207.5
SDR for Australia & Oceania Region,OSIsoft,Sydney NSW,"OSIsoft is a global leader in operational intelligence.
The PI System™ enables users to manage assets, mitigate risks, comply with regulations, improve…",121207.5
APAC Business Development Director (Water),Royal HaskoningDHV,Sydney NSW,"A strong track record in the Water sector, with experience in the business to business environment and sharp business acumen.",121207.5
Systems Analyst,Artificial Intelligence Australia Pty Ltd,Sydney NSW,"You must have a high level of technical expertise and clear insights into current business practices.
Transmit the business and functional knowledge to the…", 95000
Part-Time Analyst (Contractor),Access Partnership,Sydney NSW,"Draft actionable reports both in native language and business English.
Contribute to business development through research on new clients and industry trends.",121207.5
Data Analyst Visualisation,Sustainability Victoria,Melbourne City Centre VIC,"Proven ability to identify data gaps and fill those using research, surveys, consultation or intelligence.
The Data Analyst - Visualisation will work as part of…",121207.5
Head of Strategy and Market Intelligence,Microsoft,Sydney NSW,"Insights and Analysis: Defines, measures, and optimizes business impact by understanding and applying data-driven intelligence to create change.",121207.5
BI & Data Lead,Freedom Furniture,Australia,Develop distributed BI competencies and capabilities across the business including principles of business driven / self-service BI.,121207.5
Data Scientist,Winc,Mascot NSW,"Winc is a leading business supplies company in Australia.
Liaise with the Business Intelligence Team and business users to provide solution advice.",121207.5
Business Development Representative,Pulse Talent,Australia,"As a Business Development Manager, you will be working on business to business and drive the business profitability.
What does Pulse Talent do?*.", 90000
"ASIO Psychologist (AE6) - Canberra, ACT",ASIO,Australia,"Your workload may include conducting psychological assessments, developing psychological advice in support of recruitment and the selection of applicants to…", 102480
Marketing Specialist,Quarter Acre,Australia,"What sets us apart from the rest is data driven techniques using market intelligence and mathematical modelling.
The successful candidate must have:", 89000
Application Support Engineer,Easy Payroll Global,Australia,They turn a business’s ideas into a tailored business solution by developing complementary software that transforms the user experience of key stakeholders., 130000
Testing Analyst (SSAS/SSIS),APRA,Australia,"Addressing issues raised by report developers or business end-users.
The role will sit as part of a Product team working along-side the development team and…",121207.5
BI Data Engineer,GenesisCare,Alexandria NSW,"2+ years’ experience in business intelligence and analysis.
Provide end user training on the tools and data sources available to support self-service business…",121207.5
Head of Financial Control & FP&A,RB,Sydney NSW,"Want to point a global business in the right direction?
Lead the financial insight and intelligence our leadership depends on to make critical decisions.",121207.5
AML Intelligence Manager,Westpac Group,Parramatta NSW,"Demonstrated experience in creating intelligence reports identifying intelligence observations and the root cause(s).
What’s in it for me?",121207.5
"Insolvency & Restructuring Leader, Australasia",Willis Towers Watson,Sydney NSW,"Proven business development and networking skills.
Actively drafting proposals, presenting and pitching to potential clients and utilising business intelligence…",121207.5
GeoCortex Developer - Sydney,NGIS Australia,Sydney NSW,"As NGIS is focused on location intelligence, we value GIS people and provide the opportunity for motivated individuals to move into senior roles within the…",121207.5
Data Scientist,Sherpa,Australia,"Analytical mind and business acumen.
You work well with little direction and seek out how you can add value to the business.",121207.5
Head of Complaints,Citi,Sydney NSW,"Work with head of business and related Customer Experience councils to gather requirements for various analytics projects.
To view the ""EEO is the Law"" poster .",121207.5
"Management Consultant (Sydney, Canberra, Adelaide, Brisbane, Perth)",Tata Consultancy Services (TCS),Sydney NSW,"Knowledge of business intelligence/analytics software for reporting and analysis.
Interface with business as well technical team.", 110000
