title,company,location,summary,salary
Expressions of Interest- Forensic Advisory,KPMG,Sydney NSW,"Manipulating data into meaningful formats, reports and statistics;
Analysis of financial crime compliance policies, procedures and data.",106236.58
APS 5 Business Intelligence Analyst,Australian Taxation Office,Australia,"We are seeking data driven and creative thinkers to join our Strategy and Governance branch.
As a Business Intelligence Analyst, in Law Design and Practice, you…",106236.58
"Systems Analyst (Sydney, Melbourne, Brisbane, Canberra)",Tata Consultancy Services (TCS),Sydney NSW,"Designs and validates data models that provide logical data interpretation.
Networks with various stakeholders (internal and external) conducts interview s and…", 110000
Senior Analyst,Deloitte,Sydney NSW,"Seek to critically analyse business processes and supporting data.
Unique engagements with ever-changing situations and data sets.
18 weeks paid parental leave.",106236.58
Data Quality Analyst,Macquarie Group Limited,Sydney NSW,"Support the group data teams to implement effective data quality issue management.
Support the group data teams to implement data quality measurement and…",106236.58
Data Analyst,Leidos,Canberra ACT,"Acquiring data from primary or secondary data sources and maintaining data structures.
Identifying new data sources, collecting data, sourcing missing data.",106236.58
"Network Analyst (Sydney, Adelaide, Brisbane, Perth)",Tata Consultancy Services (TCS),Sydney NSW,"Specifications data models and diagrams in the development configuration and integration of computer systems.
The company generated consolidated revenues of US …", 110000
AMP - Technology Graduate Program 2021,AMP Limited,Sydney NSW,"Realise your ambitions with the AMP 2021 Graduate Technology program.
Voted #1 Financial Services graduate program, AAGE Top Graduate Employers 2020.",106236.58
Business Analyst,Carecone,Sydney NSW,"Data Analysis – Analysed data-sets from multiple sources to perform Gap analysis and develop key insights.
Requirements Gathering – Worked with various teams…",106236.58
Systems and Data Analyst,Hunter New England Local Health District,Newcastle NSW,"Develop and maintain our growing data warehouse.
Drive process improvement through data and systems.
Employment Type: Permanent Full Time.", 116013
Data Analyst & Data Modeller,Australian Securities Exchange (ASX),Sydney NSW,"Existing data model, data and the business processes they enable.
Industry best practices in relation to data management and data governance principles.",106236.58
Senior Data Analyst - Multiple Roles,Simplistix,Sydney NSW,"Ability to implement data strategies, build data flows and develop conceptual data models across complex integration.
Let's talk about your responsibilities: *.",106236.58
Business Analyst - Customer Remediation,TAL,Sydney NSW,"Map data between the source and target systems.
3+ years’ experience as a business analyst.
The Business Analyst provides strategic business analysis services…",106236.58
Senior Data Migration Analyst,Lion Pty Ltd,Sydney Olympic Park NSW,"We are looking for someone with strong experience as a data migration specialist, and working knowledge of big data, cloud computing and machine learning, along…",106236.58
Senior Data Analyst - Product,Wisr,Sydney NSW,"Experience performing analysis on raw event data in modern data warehouse systems.
Good understanding of how to grow and shape data tools and datasets to…",106236.58
Lead Data Modeller,Westpac Group,Sydney NSW,"The role will also need to support the overall Westpac data management agenda of data lineage transparency and data quality enhancement.
What’s in it for me?",106236.58
Youth Protection Data Analyst,Chandler Macleod,Australia,"Qualifications, experience and skills in a data analytic role is essential, including a demonstrated ability to interrogate information management systems…",106236.58
Analyst,JLL,Sydney NSW,"Responsibility for collating and analysing data on your designated property markets.
Is it a big goal or small steps?
Sound like the job you are looking for?",106236.58
Principal Statistical Analyst,Department of Education,Sydney NSW,"CESE is Australia’s first dedicated hub of education data and evaluation.
Collect essential education data and provide a one-stop shop for information needs.",106236.58
GIS Analyst,CGC Recruitment,Australia,"Demonstrated GIS skills and experience in management of spatial data.
Must have prior experience using ArcGIS and ability to manage spatial data.",106236.58
Data Engineer,Faethm,Sydney NSW,"Keeping up to date with new data science and data engineering technologies.
A broad understanding of the numerous technologies and methods used by data…",106236.58
Senior Healthcare Data Analyst,icare NSW,Sydney Central Business District NSW,"Acquisition and statistical modelling of data in SAS to allow for analysis and data mining.
Development of complex predictive data models using SAS.",106236.58
Data Analyst,Allura Partners,Sydney NSW,"Apply data architecture principles to redefine how data is stored.
The business is moving into the cloud and is looking for strong data analysts to help…",106236.58
Business Analyst,Carecone,Sydney NSW,"Data Analysis – Analysed data-sets from multiple sources to perform Gap analysis and develop key insights.
Requirements Gathering – Worked with various teams…",106236.58
Systems and Data Analyst,Hunter New England Local Health District,Newcastle NSW,"Develop and maintain our growing data warehouse.
Drive process improvement through data and systems.
Employment Type: Permanent Full Time.", 116013
Data Analyst & Data Modeller,Australian Securities Exchange (ASX),Sydney NSW,"Existing data model, data and the business processes they enable.
Industry best practices in relation to data management and data governance principles.",106236.58
Senior Data Analyst - Multiple Roles,Simplistix,Sydney NSW,"Ability to implement data strategies, build data flows and develop conceptual data models across complex integration.
Let's talk about your responsibilities: *.",106236.58
Business Analyst - Customer Remediation,TAL,Sydney NSW,"Map data between the source and target systems.
3+ years’ experience as a business analyst.
The Business Analyst provides strategic business analysis services…",106236.58
Senior Data Migration Analyst,Lion Pty Ltd,Sydney Olympic Park NSW,"We are looking for someone with strong experience as a data migration specialist, and working knowledge of big data, cloud computing and machine learning, along…",106236.58
Senior Data Analyst - Product,Wisr,Sydney NSW,"Experience performing analysis on raw event data in modern data warehouse systems.
Good understanding of how to grow and shape data tools and datasets to…",106236.58
Lead Data Modeller,Westpac Group,Sydney NSW,"The role will also need to support the overall Westpac data management agenda of data lineage transparency and data quality enhancement.
What’s in it for me?",106236.58
Youth Protection Data Analyst,Chandler Macleod,Australia,"Qualifications, experience and skills in a data analytic role is essential, including a demonstrated ability to interrogate information management systems…",106236.58
Analyst,JLL,Sydney NSW,"Responsibility for collating and analysing data on your designated property markets.
Is it a big goal or small steps?
Sound like the job you are looking for?",106236.58
Principal Statistical Analyst,Department of Education,Sydney NSW,"CESE is Australia’s first dedicated hub of education data and evaluation.
Collect essential education data and provide a one-stop shop for information needs.",106236.58
GIS Analyst,CGC Recruitment,Australia,"Demonstrated GIS skills and experience in management of spatial data.
Must have prior experience using ArcGIS and ability to manage spatial data.",106236.58
Data Engineer,Faethm,Sydney NSW,"Keeping up to date with new data science and data engineering technologies.
A broad understanding of the numerous technologies and methods used by data…",106236.58
Senior Healthcare Data Analyst,icare NSW,Sydney Central Business District NSW,"Acquisition and statistical modelling of data in SAS to allow for analysis and data mining.
Development of complex predictive data models using SAS.",106236.58
Data Analyst,Allura Partners,Sydney NSW,"Apply data architecture principles to redefine how data is stored.
The business is moving into the cloud and is looking for strong data analysts to help…",106236.58
Business Analyst,MinterEllison,Sydney NSW,"Provide analytic support by coordinating data extraction from various databases and data interpretation.
3+ years' experience in a related business analyst role…",106236.58
Data Analyst,John Holland,Sydney NSW,"We are seeking an IT Systems Analyst to work a part of a small team, who will be integral to the design and development of a new data reporting and data…",106236.58
Lead Data Analyst,Practice Ignition,Surry Hills NSW,The data analyst will work closely with the data engineer to build the foundations for data analysis and eventually data science.,106236.58
